id1,id2,groupid,size
Bonificações de juros,no crédito à habitação,1,73.3
Programas de,realojamento,2,14.1
Incentivos ao, arrendamento,3,8.4
Programas de, promoção direta,6,2
Programas de,reabilitação de edifícios,4,1.7
Subsídios de renda,da segurança social,5,0.3
Contratos de, desenv. de habitação,7,0.1
